Submission time,User ID,Term,Course,Professor,Grade distribution,Recommend professor?
2023-12-23T05:50:18.840Z,b144031aa5f07b5677aa3431b98f674d,Fall Qtr 2023,CSE 120,"Voelker, Geoffrey M.","A+:11, A:41, A-:25, B+:41, B:28, B-:16, C+:12, C:16, C-:14, D:0, F:2, P:5, NP:0, I:1, W:4, Blank:20, Total Students:236, Class GPA:3.14",
2023-12-23T05:50:18.840Z,b144031aa5f07b5677aa3431b98f674d,Fall Qtr 2023,CSE 132A,"Vianu, Victor Dan","A+:4, A:23, A-:19, B+:40, B:15, B-:27, C+:15, C:3, C-:4, D:11, F:3, P:7, NP:2, I:1, W:6, Total Students:180, Class GPA:2.97",
2023-12-23T05:50:18.840Z,b144031aa5f07b5677aa3431b98f674d,Fall Qtr 2023,CSE 141L,"Eldon, John","A+:1, A:28, A-:4, B+:2, B:0, B-:3, C+:0, C:3, C-:0, D:0, F:4, I:1, W:1, Total Students:47, Class GPA:3.37",
2023-12-23T05:50:18.840Z,b144031aa5f07b5677aa3431b98f674d,Fall Qtr 2023,CSE 167,"Li, Tzumao","A+:102, A:22, A-:11, B+:5, B:7, B-:6, C+:2, C:4, C-:2, D:2, F:1, P:2, NP:1, S:1, U:0, W:5, Total Students:173, Class GPA:3.71",
2023-12-23T05:50:18.840Z,b144031aa5f07b5677aa3431b98f674d,Fall Qtr 2023,CSE 230,"Jhala, Ranjit","A+:29, A:42, A-:26, B+:16, B:7, B-:1, C+:0, C:0, C-:0, D:0, F:1, S:16, U:1, W:1, Blank:1, Total Students:141, Class GPA:3.74",
2023-12-23T05:50:18.840Z,b144031aa5f07b5677aa3431b98f674d,Spring Qtr 2023,CSE 101,"Jones, Miles E","A+:44, A:63, A-:45, B+:27, B:19, B-:11, C+:8, C:4, C-:1, D:1, F:7, P:3, NP:0, W:5, Total Students:238, Class GPA:3.48",
2023-12-23T05:50:18.840Z,b144031aa5f07b5677aa3431b98f674d,Spring Qtr 2023,CSE 105,"Minnes Kemp, Mor Mia","A+:11, A:52, A-:44, B+:25, B:47, B-:50, C+:28, C:35, C-:3, D:11, F:10, P:0, NP:2, W:6, Total Students:324, Class GPA:2.92",
2023-12-23T05:50:18.840Z,b144031aa5f07b5677aa3431b98f674d,Spring Qtr 2023,CSE 110,"Powell, Thomas Allan","A+:0, A:17, A-:7, B+:9, B:6, B-:4, C+:1, C:0, C-:1, D:0, F:0, P:1, NP:0, W:1, Total Students:47, Class GPA:3.48",
2023-12-23T05:50:18.840Z,b144031aa5f07b5677aa3431b98f674d,Spring Qtr 2023,PHYS 2C,"Yang, Liang","A+:0, A:4, A-:3, B+:3, B:5, B-:6, C+:4, C:2, C-:0, D:1, F:0, P:0, NP:1, Total Students:29, Class GPA:2.94",
2023-12-23T05:50:18.840Z,b144031aa5f07b5677aa3431b98f674d,Winter Qtr 2023,CAT 125,"Bigham, David Joseph","A+:0, A:14, A-:4, B+:1, B:0, B-:0, C+:0, C:0, C-:0, D:0, F:0, W:1, Total Students:20, Class GPA:3.9",
